Removed Pin From Net: NetName=GNDD Pin=B1-47
Change Component Designator: OldDesignator=RT5 NewDesignator=RT?
Added Pin To Net: NetName=GNDD Pin=10-2
Added Pin To Net: NetName=GNDD Pin=BC1-1
Added Pin To Net: NetName=GNDD Pin=BC2-1
Added Pin To Net: NetName=GNDD Pin=BC3-2
Added Pin To Net: NetName=GNDD Pin=BC4-2
Added Pin To Net: NetName=GNDD Pin=BC5-1
Added Pin To Net: NetName=GNDD Pin=Buck-6
Added Pin To Net: NetName=GNDD Pin=Buck-7
Added Pin To Net: NetName=GNDD Pin=C1M-1
Added Pin To Net: NetName=GNDD Pin=C2M-1
Added Pin To Net: NetName=GNDD Pin=C3M-1
Added Pin To Net: NetName=GNDD Pin=C4M-1
Added Pin To Net: NetName=GNDD Pin=C5P-1
Added Pin To Net: NetName=GNDD Pin=C7P-1
Added Pin To Net: NetName=GNDD Pin=C8P-1
Added Pin To Net: NetName=GNDD Pin=C9M-1
Added Pin To Net: NetName=GNDD Pin=C11S-1
Added Pin To Net: NetName=GNDD Pin=C12S-1
Added Pin To Net: NetName=GNDD Pin=C101M-1
Added Pin To Net: NetName=GNDD Pin=D1-2
Added Pin To Net: NetName=GNDD Pin=MK-2
Added Pin To Net: NetName=GNDD Pin=R2M-2
Added Pin To Net: NetName=GNDD Pin=U-11
Added Pin To Net: NetName=GNDD Pin=UAA-2
Added Pin To Net: NetName=GNDD Pin=X1-2
Change Net Name : Old Net Name=GNDD New Net Name=GND
Added Pin To Net: NetName=GNDD Pin=B1-47
Added Net: Name=GNDD
